,Node A,Node B,Distance,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,20,,,,,,,,,,,,,,,,,,,,,,,,,
,2,27,5,,,,,,,,,,,,,,,,,,,,,,,,,
,2,L1_4,5,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,
,27,23,40,,,,,,,,,,,,,,,,,,,,,,,,,
,23,24,15,,,,,,,,,,,,,,,,,,,,,,,,,
,24,26,15,,,,,,,,,,,,,,,,,,,,,,,,,
,26,25,15,,,,,,,,,,,,,,,,,,,,,,,,,
,24,25,15,,,,,,,,,,,,,,,,,,,,,,,,,
,25,L1_28,10,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_4,27,5,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_4,5,8,,,,,,,,,,,,,,,,,,,,,,,,,
,5,6,35,,,,,,,,,,,,,,,,,,,,,,,,,
,6,A,3,,,,,,,,,,,,,,,,,,,,,,,,,
,A,22,5,,,,,,,,,,,,,,,,,,,,,,,,,
,A,21,4,,,,,,,,,,,,,,,,,,,,,,,,,
,A,L1_20,15,,,,,,,,,,,,,,,,,,,,,,,,,
,A,L1_7,3,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_7,L1_B,5,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_B,8,5,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_B,C,4,,,,,,,,,,,,,,,,,,,,,,,,,
,C,18,5,,,,,,,,,,,,,,,,,,,,,,,,,
,C,17,7,,,,,,,,,,,,,,,,,,,,,,,,,
,C,14,5,,,,,,,,,,,,,,,,,,,,,,,,,
,15,L1_16,6,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_16,17,10,,,,,,,,,,,,,,,,,,,,,,,,,
,17,18,10,,,,,,,,,,,,,,,,,,,,,,,,,
,14,15,10,,,,,,,,,,,,,,,,,,,,,,,,,
,8,9,3,,,,,,,,,,,,,,,,,,,,,,,,,
,9,19,5,,,,,,,,,,,,,,,,,,,,,,,,,
,9,11,3,,,,,,,,,,,,,,,,,,,,,,,,,
,9,10,5,,,,,,,,,,,,,,,,,,,,,,,,,
,9,12,8,,,,,,,,,,,,,,,,,,,,,,,,,
,10,L1_13,10,,,,,,,,,,,,,,,,,,,,,,,,,
,12,L1_13,6,,,,,,,,,,,,,,,,,,,,,,,,,
,11,L1_13,12,,,,,,,,,,,,,,,,,,,,,,,,,
,9,L1_19,3,,,,,,,,,,,,,,,,,,,,,,,,,
,23,22,5,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_7,L2_7,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_16,L2_16,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_19,L2_19,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_13,L2_13,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_B,L2_B,100,,,,,,,,,,,,,,,,,,,,,,,,,
,29,L2_16,15,,,,,,,,,,,,,,,,,,,,,,,,,
